        1-5-s  1-5-e  1-9-s  1-9-e  2-6-s  2-6-e  2-10-s  2-10-e  5-1-s  5-1-e  5-9-s  5-9-e  6-2-s  6-2-e  6-10-s  6-10-e  9-1-s  9-1-e  9-5-s  9-5-e  10-2-s  10-2-e  10-6-s  10-6-e
1-5-s       0      0      0      0      0      0       0       0     -1      0      0      0      0      0       0       0      0      0      0      0       0       0       0       0
1-5-e      53      0      0      0      0      0       0       0      0     -1      0      0      0      0       0       0      0      0      0      0       0       0       0       0
1-9-s       0      0      0      0      0      0       0       0      0      0      0      0      0      0       0       0     -1      0      0      0       0       0       0       0
1-9-e       0      0     53      0      0      0       0       0      0      0      0      0      0      0       0       0      0     -1      0      0       0       0       0       0
2-6-s       0      0      0      0      0      0       0       0      0      0      0      0     -1      0       0       0      0      0      0      0       0       0       0       0
2-6-e       0      0      0      0     39      0       0       0      0      0      0      0      0     -1       0       0      0      0      0      0       0       0       0       0
2-10-s      0      0      0      0      0      0       0       0      0      0      0      0      0      0       0       0      0      0      0      0      -1       0       0       0
2-10-e      0      0      0      0      0      0      39       0      0      0      0      0      0      0       0       0      0      0      0      0       0      -1       0       0
5-1-s      -1      0      0      0      0      0       0       0      0      0      0      0      0      0       0       0      0      0      0      0       0       0       0       0
5-1-e       0     -1      0      0      0      0       0       0     60      0      0      0      0      0       0       0      0      0      0      0       0       0       0       0
5-9-s       0      0      0      0      0      0       0       0      0      0      0      0      0      0       0       0      0      0     -1      0       0       0       0       0
5-9-e       0      0      0      0      0      0       0       0      0      0     60      0      0      0       0       0      0      0      0     -1       0       0       0       0
6-2-s       0      0      0      0     -1      0       0       0      0      0      0      0      0      0       0       0      0      0      0      0       0       0       0       0
6-2-e       0      0      0      0      0     -1       0       0      0      0      0      0     42      0       0       0      0      0      0      0       0       0       0       0
6-10-s      0      0      0      0      0      0       0       0      0      0      0      0      0      0       0       0      0      0      0      0       0       0      -1       0
6-10-e      0      0      0      0      0      0       0       0      0      0      0      0      0      0      42       0      0      0      0      0       0       0       0      -1
9-1-s       0      0     -1      0      0      0       0       0      0      0      0      0      0      0       0       0      0      0      0      0       0       0       0       0
9-1-e       0      0      0     -1      0      0       0       0      0      0      0      0      0      0       0       0     59      0      0      0       0       0       0       0
9-5-s       0      0      0      0      0      0       0       0      0      0     -1      0      0      0       0       0      0      0      0      0       0       0       0       0
9-5-e       0      0      0      0      0      0       0       0      0      0      0     -1      0      0       0       0      0      0     59      0       0       0       0       0
10-2-s      0      0      0      0      0      0      -1       0      0      0      0      0      0      0       0       0      0      0      0      0       0       0       0       0
10-2-e      0      0      0      0      0      0       0      -1      0      0      0      0      0      0       0       0      0      0      0      0      34       0       0       0
10-6-s      0      0      0      0      0      0       0       0      0      0      0      0      0      0      -1       0      0      0      0      0       0       0       0       0
10-6-e      0      0      0      0      0      0       0       0      0      0      0      0      0      0       0      -1      0      0      0      0       0       0      34       0
